Player,Game,Team,Hero,Stat,Role,Best Attribute,Actual Result
173,22,44,30,0,3,2,0
174,22,44,19,0,2,0,0
175,22,44,90,1,0,0,0
176,22,44,31,0,1,1,0
177,23,45,11,1,5,1,1
178,23,45,25,0,3,2,1
179,23,45,14,1,2,0,1
180,23,45,95,1,0,0,1
181,23,46,90,1,0,0,0
182,23,46,36,1,1,1,0
183,23,46,65,1,5,0,0
184,23,46,71,0,2,0,0
185,24,47,15,1,5,2,1
186,24,47,31,0,1,1,1
187,24,47,50,0,3,1,1
188,24,47,5,1,2,0,1
189,24,48,70,0,5,2,0
190,24,48,9,0,1,1,0
191,24,48,25,0,3,2,0
192,24,48,95,1,0,0,0
193,25,49,92,1,0,0,1
194,25,49,18,0,3,2,1
195,25,49,53,0,2,0,1
196,25,49,28,1,1,1,1
197,25,50,20,1,5,0,0
198,25,50,30,0,3,2,0
199,25,50,90,1,0,0,0
200,25,50,44,0,1,1,0
201,26,51,54,0,2,0,1
202,26,51,34,0,5,2,1
203,26,51,31,0,1,1,1
204,26,51,47,0,3,1,1
205,26,52,65,1,5,0,0
206,26,52,28,1,1,1,0
207,26,52,30,0,3,2,0
208,26,52,26,0,2,0,0
209,27,53,92,1,0,0,1
210,27,53,17,1,3,2,1
211,27,53,69,0,1,1,1
212,27,53,26,0,2,0,1
213,27,54,90,1,0,0,0
